"Read Position"	"SRR11196520"	"SRR11196521"	"SRR11196522"	"SRR11196523"	"SRR11196524"	"SRR11196525"	"SRR11196526"	"SRR11196527"	"SRR11196528"	"SRR11196529"	"SRR11196530"	"SRR11196531"	"SRR11196532"	"SRR11196533"	"SRR11196534"	"SRR11196535"	"SRR11196536"	"SRR11196537"	"SRR11196538"	"SRR11196539"
53	37.1226	37.2059	37.2181	37.1675	37.4001	37.1166	37.147	37.3152	37.0843	37.0046	37.2067	37.1062	37.2679	37.1258	37.3479	37.1013	37.2003	37.3256	37.1644	37.1515
54	37.1175	37.1989	37.2135	37.1626	37.3951	37.1115	37.1417	37.3111	37.0784	36.9982	37.2033	37.0952	37.2626	37.1196	37.3446	37.097	37.1961	37.321	37.161	37.1404
55	37.1067	37.1892	37.2028	37.1532	37.3879	37.1011	37.1314	37.3005	37.0649	36.9847	37.1963	37.0847	37.2524	37.1112	37.3371	37.0852	37.188	37.3122	37.1516	37.1324
56	37.102	37.1855	37.2014	37.1484	37.3847	37.0971	37.1273	37.2969	37.0618	36.9784	37.1922	37.0811	37.2489	37.1074	37.3345	37.0812	37.1832	37.3094	37.1474	37.1317
57	37.1009	37.186	37.1992	37.1462	37.3824	37.0978	37.1258	37.2946	37.0595	36.9772	37.1904	37.0796	37.2476	37.1077	37.331	37.0807	37.1824	37.309	37.1473	37.1317
58	37.0915	37.1761	37.1926	37.1379	37.3783	37.0906	37.1169	37.2873	37.0504	36.966	37.1857	37.0695	37.2415	37.0989	37.3277	37.0719	37.1752	37.3011	37.1378	37.1211
59	37.0841	37.1705	37.1848	37.1318	37.3731	37.0824	37.1114	37.2808	37.043	36.9587	37.1797	37.0631	37.2339	37.0927	37.3227	37.0654	37.1698	37.295	37.133	37.1156
60	37.08	37.1642	37.1806	37.1277	37.3678	37.0774	37.1049	37.2767	37.0356	36.9521	37.1749	37.0558	37.2295	37.0868	37.3192	37.0581	37.1645	37.2922	37.1292	37.1089
61	37.071	37.1557	37.1694	37.1174	37.3611	37.0692	37.0973	37.2675	37.0267	36.9416	37.168	37.0447	37.2219	37.0791	37.3112	37.0492	37.1558	37.2844	37.1213	37.1004
62	36.9851	37.0758	37.0882	37.0336	37.2797	36.987	37.0135	37.1846	36.9402	36.8565	37.0897	36.9629	37.1382	36.999	37.2332	36.9675	37.0765	37.2009	37.0414	37.0217
63	37.0216	37.1119	37.1233	37.0711	37.3179	37.0236	37.0523	37.2253	36.979	36.8931	37.1254	36.9986	37.1759	37.0354	37.2693	37.0038	37.1122	37.2388	37.0788	37.0497
64	37.0437	37.1319	37.1481	37.0925	37.3417	37.0441	37.0717	37.2454	37.0004	36.9155	37.1495	37.0186	37.1974	37.0567	37.2911	37.0248	37.1343	37.2615	37.0997	37.0704
65	37.0415	37.1334	37.1487	37.0929	37.3418	37.0449	37.0733	37.2449	37.0003	36.9118	37.15	37.0175	37.1984	37.0566	37.2917	37.0244	37.1354	37.2614	37.1003	37.0742
66	37.0323	37.1235	37.1396	37.084	37.3348	37.033	37.0645	37.2368	36.9879	36.9009	37.1415	37.0048	37.1886	37.0475	37.2844	37.0138	37.1271	37.2553	37.0944	37.0599
67	37.027	37.1177	37.134	37.0807	37.3318	37.0296	37.0598	37.2322	36.9808	36.8936	37.1358	36.997	37.1866	37.0428	37.2816	37.009	37.1236	37.2517	37.0885	37.0554
