"Read Position"	"SRR11196520"	"SRR11196521"	"SRR11196522"	"SRR11196523"	"SRR11196524"	"SRR11196525"	"SRR11196526"	"SRR11196527"	"SRR11196528"	"SRR11196529"	"SRR11196530"	"SRR11196531"	"SRR11196532"	"SRR11196533"	"SRR11196534"	"SRR11196535"	"SRR11196536"	"SRR11196537"	"SRR11196538"	"SRR11196539"
92	36.8858	36.9624	36.9784	36.7852	36.8601	37.0527	36.9936	36.8709	36.9202	36.9068	37.0577	36.8928	36.9292	37.0699	37.0677	37.0378	37.0974	36.882	36.9676	36.9087
93	36.8502	36.9305	36.9465	36.7489	36.8234	37.0197	36.9593	36.8309	36.8836	36.8713	37.0289	36.8538	36.893	37.0368	37.0337	37.0046	37.064	36.8449	36.9341	36.8696
94	36.8282	36.9078	36.9279	36.7243	36.801	36.9997	36.94	36.8097	36.8617	36.8503	37.0098	36.8326	36.8715	37.0176	37.0156	36.9858	37.0459	36.8246	36.9139	36.8484
95	36.8166	36.8982	36.9188	36.7123	36.7924	36.9924	36.9305	36.7983	36.8544	36.8406	37.0004	36.8262	36.8623	37.0108	37.0083	36.9779	37.0397	36.8143	36.9047	36.8458
96	36.7568	36.8448	36.8619	36.6491	36.7323	36.9407	36.8757	36.7411	36.7968	36.7842	36.9517	36.764	36.8045	36.9591	36.9585	36.9231	36.9885	36.7547	36.8518	36.7784
97	36.7288	36.8155	36.8359	36.6196	36.7028	36.915	36.8495	36.7131	36.7653	36.7543	36.9247	36.7371	36.7761	36.9362	36.9312	36.8996	36.964	36.7282	36.8266	36.7535
98	36.7175	36.8085	36.8264	36.6066	36.6933	36.9077	36.8399	36.7	36.7593	36.7425	36.9153	36.7234	36.768	36.9286	36.9235	36.8897	36.9586	36.7185	36.815	36.7394
99	36.6901	36.7825	36.8015	36.5807	36.6663	36.8866	36.8143	36.6711	36.7327	36.715	36.895	36.6937	36.7414	36.9049	36.9008	36.8664	36.9334	36.6873	36.7893	36.7079
100	36.6748	36.7693	36.791	36.5629	36.6509	36.8752	36.8014	36.6569	36.7188	36.7004	36.882	36.6722	36.7265	36.8944	36.8871	36.8565	36.9221	36.671	36.7787	36.6914
101	36.6361	36.7342	36.7554	36.5214	36.6093	36.8437	36.7685	36.6151	36.6802	36.6647	36.8513	36.6334	36.6896	36.864	36.8569	36.8244	36.8927	36.632	36.7453	36.6531
102	36.6308	36.7241	36.7499	36.5149	36.6031	36.8348	36.7628	36.6095	36.6753	36.6572	36.8436	36.6189	36.6823	36.8567	36.8507	36.8166	36.8865	36.6281	36.7396	36.6429
103	36.6332	36.7279	36.7558	36.5194	36.6056	36.8384	36.7656	36.6129	36.6773	36.6597	36.8475	36.6298	36.6844	36.8602	36.8506	36.8191	36.8882	36.6303	36.7402	36.6543
104	36.6439	36.7403	36.7625	36.5303	36.6188	36.8484	36.774	36.6235	36.6884	36.6703	36.8591	36.6437	36.6915	36.8719	36.8613	36.8289	36.8971	36.6399	36.7518	36.672
105	36.6323	36.73	36.7545	36.5183	36.6039	36.8376	36.764	36.611	36.6772	36.6588	36.8463	36.626	36.6825	36.8627	36.8487	36.8203	36.8876	36.6289	36.7399	36.6433
106	36.5074	36.6085	36.6353	36.3943	36.4824	36.7188	36.6417	36.4859	36.5542	36.5304	36.7279	36.5004	36.5585	36.7455	36.7348	36.6982	36.7752	36.5054	36.6185	36.5217
107	36.4696	36.5752	36.5978	36.3555	36.4428	36.6886	36.6101	36.45	36.5168	36.4983	36.6985	36.4605	36.5208	36.7133	36.7041	36.6703	36.7431	36.468	36.5868	36.4835
108	36.4086	36.5196	36.5429	36.2929	36.3822	36.6333	36.5558	36.3918	36.4589	36.4411	36.647	36.396	36.4629	36.6633	36.6557	36.6146	36.6936	36.4099	36.5325	36.4142
109	36.3778	36.489	36.5166	36.2586	36.3483	36.6099	36.5272	36.3564	36.4282	36.4058	36.6188	36.3574	36.4317	36.638	36.6277	36.5887	36.6685	36.3796	36.5039	36.3803
110	36.3422	36.457	36.4855	36.219	36.3144	36.5863	36.4974	36.3182	36.3988	36.3715	36.5943	36.3264	36.3979	36.6123	36.5996	36.5629	36.643	36.3409	36.4769	36.3585
111	36.3786	36.4954	36.5224	36.2554	36.3485	36.6267	36.5359	36.3511	36.4338	36.4076	36.6339	36.3694	36.4353	36.6508	36.6355	36.6017	36.6833	36.3731	36.5128	36.4013
112	36.4015	36.5184	36.5445	36.2754	36.3712	36.6444	36.5568	36.3747	36.4568	36.4291	36.6502	36.3866	36.4553	36.6708	36.6538	36.6191	36.7008	36.3981	36.532	36.4131
113	36.36	36.4765	36.5083	36.2338	36.328	36.6094	36.5189	36.3297	36.4195	36.3868	36.6148	36.3459	36.4129	36.6357	36.6197	36.5826	36.6645	36.3549	36.4942	36.3732
114	36.3264	36.4464	36.4769	36.1981	36.2948	36.5761	36.4866	36.2941	36.385	36.3553	36.587	36.3176	36.3812	36.6067	36.5866	36.5525	36.6344	36.3224	36.4634	36.3478
115	36.2866	36.4084	36.4389	36.1544	36.2522	36.5384	36.4482	36.2532	36.3486	36.3145	36.5526	36.2726	36.3399	36.5716	36.5544	36.5152	36.6012	36.2831	36.4246	36.3042
116	36.2352	36.361	36.3954	36.101	36.2004	36.4962	36.4019	36.2019	36.3001	36.261	36.5062	36.2165	36.2912	36.5297	36.5118	36.4738	36.5582	36.2325	36.3784	36.2474
117	36.1869	36.3159	36.3508	36.0528	36.1539	36.451	36.3564	36.157	36.2507	36.2186	36.4619	36.1745	36.2448	36.4859	36.4687	36.4271	36.5138	36.1852	36.3364	36.2066
118	36.1545	36.2832	36.3209	36.0199	36.12	36.4236	36.3254	36.1221	36.2199	36.1859	36.4318	36.1432	36.2135	36.4561	36.4377	36.3965	36.4858	36.152	36.3053	36.1802
119	36.1416	36.2729	36.3075	36.0035	36.1083	36.4153	36.317	36.1091	36.2091	36.1716	36.4223	36.128	36.1982	36.4487	36.4265	36.3901	36.4783	36.1383	36.2923	36.1624
120	36.0863	36.221	36.2579	35.9473	36.0514	36.3659	36.2645	36.0533	36.1549	36.1196	36.3766	36.0684	36.148	36.4001	36.381	36.3406	36.4312	36.0825	36.2453	36.1033
121	36.0463	36.1813	36.2175	35.9042	36.0103	36.3324	36.2249	36.0116	36.1115	36.077	36.3427	36.0197	36.1061	36.367	36.3422	36.3026	36.3931	36.0446	36.2055	36.0519
122	36.0249	36.1629	36.2022	35.8824	35.9876	36.3206	36.2064	35.9927	36.0967	36.0544	36.3278	35.9955	36.0879	36.3509	36.3276	36.288	36.3794	36.0242	36.188	36.0344
123	35.9405	36.0838	36.126	35.7957	35.9043	36.2406	36.1253	35.8997	36.0147	35.9709	36.2485	35.9209	36.0031	36.2777	36.2474	36.2088	36.3041	35.9389	36.1124	35.9619
124	35.9184	36.0655	36.1063	35.7681	35.8768	36.2291	36.1089	35.8753	35.996	35.9495	36.2343	35.8855	35.9787	36.2641	36.2326	36.1932	36.2905	35.9144	36.0947	35.9297
125	35.9212	36.0671	36.11	35.7685	35.876	36.2331	36.1118	35.8747	35.996	35.9504	36.2377	35.8941	35.9783	36.2708	36.2328	36.1962	36.2941	35.9122	36.0968	35.9397
